REF_AREA,Reference area,Measure,Unit of measure,Sex,Age,TIME_PERIOD
ESP,Spain,Gross pension replacement rate at 200% of average wage,Percentage of gross pre-retirement earnings at the same income level,Male,Not applicable,2022
SWE,Sweden,Future retirement age for a person who entered the labour force at age 22,Percentage of gross pre-retirement earnings at the same income level,Female,Not applicable,2014
SWE,Sweden,Future retirement age for a person who entered the labour force at age 22,Percentage of gross pre-retirement earnings at the same income level,Female,Not applicable,2018
SWE,Sweden,Future retirement age for a person who entered the labour force at age 22,Percentage of gross pre-retirement earnings at the same income level,Female,Not applicable,2020
SWE,Sweden,Future retirement age for a person who entered the labour force at age 22,Percentage of gross pre-retirement earnings at the same income level,Female,Not applicable,2022
GBR,United Kingdom,Gross pension replacement rate at 100% of average wage,Percentage of gross pre-retirement earnings at the same income level,Male,Not applicable,2022
EST,Estonia,Current retirement age for a person who entered the labour force at age 22,Years,Male,Not applicable,2014
EST,Estonia,Current retirement age for a person who entered the labour force at age 22,Years,Male,Not applicable,2018
EST,Estonia,Current retirement age for a person who entered the labour force at age 22,Years,Male,Not applicable,2020
EST,Estonia,Current retirement age for a person who entered the labour force at age 22,Years,Male,Not applicable,2022
EST,Estonia,Gross pension replacement rate at 200% of average wage,Percentage of gross pre-retirement earnings at the same income level,Male,Not applicable,2022
SVN,Slovenia,Gross pension replacement rate at 100% of average wage,Percentage of gross pre-retirement earnings at the same income level,Female,Not applicable,2022
SVN,Slovenia,Employment rate,Percentage of population in the same age,Not applicable,From 65 to 69 years,2014
SVN,Slovenia,Employment rate,Percentage of population in the same age,Not applicable,From 65 to 69 years,2018
SVN,Slovenia,Employment rate,Percentage of population in the same age,Not applicable,From 65 to 69 years,2020
SVN,Slovenia,Employment rate,Percentage of population in the same age,Not applicable,From 65 to 69 years,2022
LTU,Lithuania,Gross pension replacement rate at 100% of average wage,Percentage of gross pre-retirement earnings at the same income level,Female,Not applicable,2022
ZAF,South Africa,Current retirement age for a person who entered the labour force at age 22,Years,Male,Not applicable,2014
ZAF,South Africa,Current retirement age for a person who entered the labour force at age 22,Years,Male,Not applicable,2018
ZAF,South Africa,Current retirement age for a person who entered the labour force at age 22,Years,Male,Not applicable,2020
ZAF,South Africa,Current retirement age for a person who entered the labour force at age 22,Years,Male,Not applicable,2022
HRV,Croatia,Gross pension replacement rate at 100% of average wage,Percentage of gross pre-retirement earnings at the same income level,Female,Not applicable,2022
CHN,China (People’s Republic of),Employment rate,Percentage of population in the same age,Not applicable,From 55 to 59 years,2014
CHN,China (People’s Republic of),Employment rate,Percentage of population in the same age,Not applicable,From 55 to 59 years,2018
EU27,European Union (27 countries),Employment rate,Percentage of population in the same age,Not applicable,From 60 to 64 years,2020
EU27,European Union (27 countries),Employment rate,Percentage of population in the same age,Not applicable,From 60 to 64 years,2022
EU28,European Union (28 countries),Current retirement age for a person who entered the labour force at age 22,Years,Male,Not applicable,2014
EU28,European Union (28 countries),Current retirement age for a person who entered the labour force at age 22,Years,Male,Not applicable,2018
OECD_REP,OECD average country,Gross pension replacement rate at 200% of average wage,Percentage of gross pre-retirement earnings at the same income level,Female,Not applicable,2022
ARG,Argentina,Gross pension replacement rate at 200% of average wage,Percentage of gross pre-retirement earnings at the same income level,Female,Not applicable,2022
CAN,Canada,Current retirement age for a person who entered the labour force at age 22,Years,Female,Not applicable,2014
CAN,Canada,Current retirement age for a person who entered the labour force at age 22,Years,Female,Not applicable,2018
CAN,Canada,Current retirement age for a person who entered the labour force at age 22,Years,Female,Not applicable,2020
CAN,Canada,Current retirement age for a person who entered the labour force at age 22,Years,Female,Not applicable,2022
DNK,Denmark,Effective labour market exit age,Years,Male,Not applicable,1970
DNK,Denmark,Effective labour market exit age,Years,Male,Not applicable,1971
DNK,Denmark,Effective labour market exit age,Years,Male,Not applicable,1972
DNK,Denmark,Effective labour market exit age,Years,Male,Not applicable,1973
DNK,Denmark,Effective labour market exit age,Years,Male,Not applicable,1974
DNK,Denmark,Effective labour market exit age,Years,Male,Not applicable,1975
DNK,Denmark,Effective labour market exit age,Years,Male,Not applicable,1976
DNK,Denmark,Effective labour market exit age,Years,Male,Not applicable,1977
DNK,Denmark,Effective labour market exit age,Years,Male,Not applicable,1978
DNK,Denmark,Effective labour market exit age,Years,Male,Not applicable,1979
DNK,Denmark,Effective labour market exit age,Years,Male,Not applicable,1980
DNK,Denmark,Effective labour market exit age,Years,Male,Not applicable,1981
DNK,Denmark,Effective labour market exit age,Years,Male,Not applicable,1982
DNK,Denmark,Effective labour market exit age,Years,Male,Not applicable,1983
DNK,Denmark,Effective labour market exit age,Years,Male,Not applicable,1984
DNK,Denmark,Effective labour market exit age,Years,Male,Not applicable,1985
DNK,Denmark,Effective labour market exit age,Years,Male,Not applicable,1986
DNK,Denmark,Effective labour market exit age,Years,Male,Not applicable,1987
DNK,Denmark,Effective labour market exit age,Years,Male,Not applicable,1988
DNK,Denmark,Effective labour market exit age,Years,Male,Not applicable,1989
DNK,Denmark,Effective labour market exit age,Years,Male,Not applicable,1990
DNK,Denmark,Effective labour market exit age,Years,Male,Not applicable,1991
DNK,Denmark,Effective labour market exit age,Years,Male,Not applicable,1992
DNK,Denmark,Effective labour market exit age,Years,Male,Not applicable,1993
DNK,Denmark,Effective labour market exit age,Years,Male,Not applicable,1994
DNK,Denmark,Effective labour market exit age,Years,Male,Not applicable,1995
DNK,Denmark,Effective labour market exit age,Years,Male,Not applicable,1996
DNK,Denmark,Effective labour market exit age,Years,Male,Not applicable,1997
DNK,Denmark,Effective labour market exit age,Years,Male,Not applicable,1998
DNK,Denmark,Effective labour market exit age,Years,Male,Not applicable,1999
DNK,Denmark,Effective labour market exit age,Years,Male,Not applicable,2000
DNK,Denmark,Effective labour market exit age,Years,Male,Not applicable,2001
DNK,Denmark,Effective labour market exit age,Years,Male,Not applicable,2002
DNK,Denmark,Effective labour market exit age,Years,Male,Not applicable,2003
DNK,Denmark,Effective labour market exit age,Years,Male,Not applicable,2004
DNK,Denmark,Effective labour market exit age,Years,Male,Not applicable,2005
DNK,Denmark,Effective labour market exit age,Years,Male,Not applicable,2006
DNK,Denmark,Effective labour market exit age,Years,Male,Not applicable,2007
DNK,Denmark,Effective labour market exit age,Years,Male,Not applicable,2008
DNK,Denmark,Effective labour market exit age,Years,Male,Not applicable,2009
DNK,Denmark,Effective labour market exit age,Years,Male,Not applicable,2010
DNK,Denmark,Effective labour market exit age,Years,Male,Not applicable,2011
DNK,Denmark,Effective labour market exit age,Years,Male,Not applicable,2012
DNK,Denmark,Effective labour market exit age,Years,Male,Not applicable,2013
DNK,Denmark,Effective labour market exit age,Years,Male,Not applicable,2014
DNK,Denmark,Effective labour market exit age,Years,Male,Not applicable,2015
DNK,Denmark,Effective labour market exit age,Years,Male,Not applicable,2016
DNK,Denmark,Effective labour market exit age,Years,Male,Not applicable,2017
DNK,Denmark,Effective labour market exit age,Years,Male,Not applicable,2018
DNK,Denmark,Effective labour market exit age,Years,Male,Not applicable,2019
DNK,Denmark,Effective labour market exit age,Years,Male,Not applicable,2020
DNK,Denmark,Effective labour market exit age,Years,Male,Not applicable,2021
DNK,Denmark,Effective labour market exit age,Years,Male,Not applicable,2022
ISL,Iceland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1950
ISL,Iceland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1951
ISL,Iceland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1952
ISL,Iceland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1953
ISL,Iceland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1954
ISL,Iceland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1955
ISL,Iceland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1956
ISL,Iceland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1957
ISL,Iceland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1958
ISL,Iceland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1959
ISL,Iceland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1960
ISL,Iceland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1961
ISL,Iceland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1962
ISL,Iceland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1963
ISL,Iceland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1964
ISL,Iceland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1965
ISL,Iceland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1966
ISL,Iceland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1967
ISL,Iceland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1968
ISL,Iceland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1969
ISL,Iceland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1970
ISL,Iceland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1971
ISL,Iceland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1972
ISL,Iceland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1973
ISL,Iceland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1974
ISL,Iceland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1975
ISL,Iceland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1976
ISL,Iceland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1977
ISL,Iceland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1978
ISL,Iceland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1979
ISL,Iceland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1980
ISL,Iceland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1981
ISL,Iceland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1982
ISL,Iceland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1983
ISL,Iceland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1984
ISL,Iceland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1985
ISL,Iceland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1986
ISL,Iceland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1987
ISL,Iceland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1988
ISL,Iceland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1989
ISL,Iceland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1991
ISL,Iceland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1992
ISL,Iceland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1993
ISL,Iceland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1994
ISL,Iceland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1996
ISL,Iceland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1997
ISL,Iceland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1998
ISL,Iceland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1999
ISL,Iceland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,2001
ISL,Iceland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,2002
ISL,Iceland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,2003
ISL,Iceland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,2004
ISL,Iceland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,2022
ISL,Iceland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,2023
ISL,Iceland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,2024
ISL,Iceland,Effective labour market exit age,Years,Female,Not applicable,1970
ISL,Iceland,Effective labour market exit age,Years,Female,Not applicable,1971
ISL,Iceland,Effective labour market exit age,Years,Female,Not applicable,1972
ISL,Iceland,Effective labour market exit age,Years,Female,Not applicable,1973
ISL,Iceland,Effective labour market exit age,Years,Female,Not applicable,1974
ISL,Iceland,Effective labour market exit age,Years,Female,Not applicable,1975
ISL,Iceland,Effective labour market exit age,Years,Female,Not applicable,1976
ISL,Iceland,Effective labour market exit age,Years,Female,Not applicable,1977
ISL,Iceland,Effective labour market exit age,Years,Female,Not applicable,1978
ISL,Iceland,Effective labour market exit age,Years,Female,Not applicable,1979
ISL,Iceland,Effective labour market exit age,Years,Female,Not applicable,1980
ISL,Iceland,Effective labour market exit age,Years,Female,Not applicable,1981
ISL,Iceland,Effective labour market exit age,Years,Female,Not applicable,1982
ISL,Iceland,Effective labour market exit age,Years,Female,Not applicable,1983
ISL,Iceland,Effective labour market exit age,Years,Female,Not applicable,1984
ISL,Iceland,Effective labour market exit age,Years,Female,Not applicable,1985
ISL,Iceland,Effective labour market exit age,Years,Female,Not applicable,1986
ISL,Iceland,Effective labour market exit age,Years,Female,Not applicable,1987
ISL,Iceland,Effective labour market exit age,Years,Female,Not applicable,1988
ISL,Iceland,Effective labour market exit age,Years,Female,Not applicable,1989
ISL,Iceland,Effective labour market exit age,Years,Female,Not applicable,1990
ISL,Iceland,Effective labour market exit age,Years,Female,Not applicable,1991
ISL,Iceland,Effective labour market exit age,Years,Female,Not applicable,1992
ISL,Iceland,Effective labour market exit age,Years,Female,Not applicable,1993
ISL,Iceland,Effective labour market exit age,Years,Female,Not applicable,1994
ISL,Iceland,Effective labour market exit age,Years,Female,Not applicable,1995
ISL,Iceland,Effective labour market exit age,Years,Female,Not applicable,1996
ISL,Iceland,Effective labour market exit age,Years,Female,Not applicable,1997
ISL,Iceland,Effective labour market exit age,Years,Female,Not applicable,1998
ISL,Iceland,Effective labour market exit age,Years,Female,Not applicable,1999
ISL,Iceland,Effective labour market exit age,Years,Female,Not applicable,2000
ISL,Iceland,Effective labour market exit age,Years,Female,Not applicable,2001
ISL,Iceland,Effective labour market exit age,Years,Female,Not applicable,2002
ISL,Iceland,Effective labour market exit age,Years,Female,Not applicable,2003
ISL,Iceland,Effective labour market exit age,Years,Female,Not applicable,2004
ISL,Iceland,Effective labour market exit age,Years,Female,Not applicable,2005
ISL,Iceland,Effective labour market exit age,Years,Female,Not applicable,2006
ISL,Iceland,Effective labour market exit age,Years,Female,Not applicable,2007
ISL,Iceland,Effective labour market exit age,Years,Female,Not applicable,2008
ISL,Iceland,Effective labour market exit age,Years,Female,Not applicable,2009
ISL,Iceland,Effective labour market exit age,Years,Female,Not applicable,2010
ISL,Iceland,Effective labour market exit age,Years,Female,Not applicable,2011
ISL,Iceland,Effective labour market exit age,Years,Female,Not applicable,2012
ISL,Iceland,Effective labour market exit age,Years,Female,Not applicable,2013
ISL,Iceland,Effective labour market exit age,Years,Female,Not applicable,2014
ISL,Iceland,Effective labour market exit age,Years,Female,Not applicable,2015
ISL,Iceland,Effective labour market exit age,Years,Female,Not applicable,2016
ISL,Iceland,Effective labour market exit age,Years,Female,Not applicable,2017
ISL,Iceland,Effective labour market exit age,Years,Female,Not applicable,2018
ISL,Iceland,Effective labour market exit age,Years,Female,Not applicable,2019
ISL,Iceland,Effective labour market exit age,Years,Female,Not applicable,2020
ISL,Iceland,Effective labour market exit age,Years,Female,Not applicable,2021
ISL,Iceland,Effective labour market exit age,Years,Female,Not applicable,2022
IRL,Ireland,Employment rate,Percentage of population in the same age,Not applicable,From 65 to 69 years,2014
IRL,Ireland,Employment rate,Percentage of population in the same age,Not applicable,From 65 to 69 years,2018
IRL,Ireland,Employment rate,Percentage of population in the same age,Not applicable,From 65 to 69 years,2020
IRL,Ireland,Employment rate,Percentage of population in the same age,Not applicable,From 65 to 69 years,2022
KOR,Korea,Gross pension replacement rate at 200% of average wage,Percentage of gross pre-retirement earnings at the same income level,Male,Not applicable,2022
NZL,New Zealand,Current retirement age for a person who entered the labour force at age 22,Years,Female,Not applicable,2014
NZL,New Zealand,Current retirement age for a person who entered the labour force at age 22,Years,Female,Not applicable,2018
NZL,New Zealand,Current retirement age for a person who entered the labour force at age 22,Years,Female,Not applicable,2020
NZL,New Zealand,Current retirement age for a person who entered the labour force at age 22,Years,Female,Not applicable,2022
POL,Poland,Gross pension replacement rate at 100% of average wage,Percentage of gross pre-retirement earnings at the same income level,Male,Not applicable,2022
PRT,Portugal,Gross pension replacement rate at 200% of average wage,Percentage of gross pre-retirement earnings at the same income level,Female,Not applicable,2022
ESP,Spain,Employment rate,Percentage of population in the same age,Not applicable,From 55 to 59 years,2014
ESP,Spain,Employment rate,Percentage of population in the same age,Not applicable,From 55 to 59 years,2018
ESP,Spain,Employment rate,Percentage of population in the same age,Not applicable,From 55 to 59 years,2020
ESP,Spain,Employment rate,Percentage of population in the same age,Not applicable,From 55 to 59 years,2022
ESP,Spain,Expected years after labour market exit,Years,Female,Not applicable,1970
ESP,Spain,Expected years after labour market exit,Years,Female,Not applicable,1971
ESP,Spain,Expected years after labour market exit,Years,Female,Not applicable,1972
ESP,Spain,Expected years after labour market exit,Years,Female,Not applicable,1973
ESP,Spain,Expected years after labour market exit,Years,Female,Not applicable,1974
ESP,Spain,Expected years after labour market exit,Years,Female,Not applicable,1975
ESP,Spain,Expected years after labour market exit,Years,Female,Not applicable,1976
ESP,Spain,Expected years after labour market exit,Years,Female,Not applicable,1977
ESP,Spain,Expected years after labour market exit,Years,Female,Not applicable,1978
ESP,Spain,Expected years after labour market exit,Years,Female,Not applicable,1979
ESP,Spain,Expected years after labour market exit,Years,Female,Not applicable,1980
ESP,Spain,Expected years after labour market exit,Years,Female,Not applicable,1981
ESP,Spain,Expected years after labour market exit,Years,Female,Not applicable,1982
ESP,Spain,Expected years after labour market exit,Years,Female,Not applicable,1983
ESP,Spain,Expected years after labour market exit,Years,Female,Not applicable,1984
ESP,Spain,Expected years after labour market exit,Years,Female,Not applicable,1985
ESP,Spain,Expected years after labour market exit,Years,Female,Not applicable,1986
ESP,Spain,Expected years after labour market exit,Years,Female,Not applicable,1987
ESP,Spain,Expected years after labour market exit,Years,Female,Not applicable,1988
ESP,Spain,Expected years after labour market exit,Years,Female,Not applicable,1989
ESP,Spain,Expected years after labour market exit,Years,Female,Not applicable,1990
ESP,Spain,Expected years after labour market exit,Years,Female,Not applicable,1991
ESP,Spain,Expected years after labour market exit,Years,Female,Not applicable,1992
ESP,Spain,Expected years after labour market exit,Years,Female,Not applicable,1993
ESP,Spain,Expected years after labour market exit,Years,Female,Not applicable,1994
ESP,Spain,Expected years after labour market exit,Years,Female,Not applicable,1995
ESP,Spain,Expected years after labour market exit,Years,Female,Not applicable,1996
ESP,Spain,Expected years after labour market exit,Years,Female,Not applicable,1997
ESP,Spain,Expected years after labour market exit,Years,Female,Not applicable,1998
ESP,Spain,Expected years after labour market exit,Years,Female,Not applicable,1999
ESP,Spain,Expected years after labour market exit,Years,Female,Not applicable,2000
ESP,Spain,Expected years after labour market exit,Years,Female,Not applicable,2001
ESP,Spain,Expected years after labour market exit,Years,Female,Not applicable,2002
ESP,Spain,Expected years after labour market exit,Years,Female,Not applicable,2003
ESP,Spain,Expected years after labour market exit,Years,Female,Not applicable,2004
ESP,Spain,Expected years after labour market exit,Years,Female,Not applicable,2005
ESP,Spain,Expected years after labour market exit,Years,Female,Not applicable,2006
ESP,Spain,Expected years after labour market exit,Years,Female,Not applicable,2007
ESP,Spain,Expected years after labour market exit,Years,Female,Not applicable,2008
ESP,Spain,Expected years after labour market exit,Years,Female,Not applicable,2009
ESP,Spain,Expected years after labour market exit,Years,Female,Not applicable,2010
ESP,Spain,Expected years after labour market exit,Years,Female,Not applicable,2011
ESP,Spain,Expected years after labour market exit,Years,Female,Not applicable,2012
ESP,Spain,Expected years after labour market exit,Years,Female,Not applicable,2013
ESP,Spain,Expected years after labour market exit,Years,Female,Not applicable,2014
ESP,Spain,Expected years after labour market exit,Years,Female,Not applicable,2015
ESP,Spain,Expected years after labour market exit,Years,Female,Not applicable,2016
ESP,Spain,Expected years after labour market exit,Years,Female,Not applicable,2017
ESP,Spain,Expected years after labour market exit,Years,Female,Not applicable,2018
ESP,Spain,Expected years after labour market exit,Years,Female,Not applicable,2019
ESP,Spain,Expected years after labour market exit,Years,Female,Not applicable,2020
ESP,Spain,Expected years after labour market exit,Years,Female,Not applicable,2021
ESP,Spain,Expected years after labour market exit,Years,Female,Not applicable,2022
EST,Estonia,Employment rate,Percentage of population in the same age,Not applicable,From 55 to 59 years,2014
EST,Estonia,Employment rate,Percentage of population in the same age,Not applicable,From 55 to 59 years,2018
EST,Estonia,Employment rate,Percentage of population in the same age,Not applicable,From 55 to 59 years,2020
EST,Estonia,Employment rate,Percentage of population in the same age,Not applicable,From 55 to 59 years,2022
EST,Estonia,Expected years after labour market exit,Years,Female,Not applicable,1970
EST,Estonia,Expected years after labour market exit,Years,Female,Not applicable,1971
EST,Estonia,Expected years after labour market exit,Years,Female,Not applicable,1972
EST,Estonia,Expected years after labour market exit,Years,Female,Not applicable,1973
EST,Estonia,Expected years after labour market exit,Years,Female,Not applicable,1974
EST,Estonia,Expected years after labour market exit,Years,Female,Not applicable,1975
EST,Estonia,Expected years after labour market exit,Years,Female,Not applicable,1976
EST,Estonia,Expected years after labour market exit,Years,Female,Not applicable,1977
EST,Estonia,Expected years after labour market exit,Years,Female,Not applicable,1978
EST,Estonia,Expected years after labour market exit,Years,Female,Not applicable,1979
EST,Estonia,Expected years after labour market exit,Years,Female,Not applicable,1980
EST,Estonia,Expected years after labour market exit,Years,Female,Not applicable,1981
EST,Estonia,Expected years after labour market exit,Years,Female,Not applicable,1982
EST,Estonia,Expected years after labour market exit,Years,Female,Not applicable,1983
EST,Estonia,Expected years after labour market exit,Years,Female,Not applicable,1984
EST,Estonia,Expected years after labour market exit,Years,Female,Not applicable,1985
EST,Estonia,Expected years after labour market exit,Years,Female,Not applicable,1986
EST,Estonia,Expected years after labour market exit,Years,Female,Not applicable,1987
EST,Estonia,Expected years after labour market exit,Years,Female,Not applicable,1988
EST,Estonia,Expected years after labour market exit,Years,Female,Not applicable,1989
EST,Estonia,Expected years after labour market exit,Years,Female,Not applicable,1990
EST,Estonia,Expected years after labour market exit,Years,Female,Not applicable,1991
EST,Estonia,Expected years after labour market exit,Years,Female,Not applicable,1992
EST,Estonia,Expected years after labour market exit,Years,Female,Not applicable,1993
EST,Estonia,Expected years after labour market exit,Years,Female,Not applicable,1994
EST,Estonia,Expected years after labour market exit,Years,Female,Not applicable,1995
EST,Estonia,Expected years after labour market exit,Years,Female,Not applicable,1996
EST,Estonia,Expected years after labour market exit,Years,Female,Not applicable,1997
EST,Estonia,Expected years after labour market exit,Years,Female,Not applicable,1998
EST,Estonia,Expected years after labour market exit,Years,Female,Not applicable,1999
EST,Estonia,Expected years after labour market exit,Years,Female,Not applicable,2000
EST,Estonia,Expected years after labour market exit,Years,Female,Not applicable,2001
EST,Estonia,Expected years after labour market exit,Years,Female,Not applicable,2002
EST,Estonia,Expected years after labour market exit,Years,Female,Not applicable,2003
EST,Estonia,Expected years after labour market exit,Years,Female,Not applicable,2004
EST,Estonia,Expected years after labour market exit,Years,Female,Not applicable,2005
EST,Estonia,Expected years after labour market exit,Years,Female,Not applicable,2006
EST,Estonia,Expected years after labour market exit,Years,Female,Not applicable,2007
EST,Estonia,Expected years after labour market exit,Years,Female,Not applicable,2008
EST,Estonia,Expected years after labour market exit,Years,Female,Not applicable,2009
EST,Estonia,Expected years after labour market exit,Years,Female,Not applicable,2010
EST,Estonia,Expected years after labour market exit,Years,Female,Not applicable,2011
EST,Estonia,Expected years after labour market exit,Years,Female,Not applicable,2012
EST,Estonia,Expected years after labour market exit,Years,Female,Not applicable,2013
EST,Estonia,Expected years after labour market exit,Years,Female,Not applicable,2014
EST,Estonia,Expected years after labour market exit,Years,Female,Not applicable,2015
EST,Estonia,Expected years after labour market exit,Years,Female,Not applicable,2016
EST,Estonia,Expected years after labour market exit,Years,Female,Not applicable,2017
EST,Estonia,Expected years after labour market exit,Years,Female,Not applicable,2018
EST,Estonia,Expected years after labour market exit,Years,Female,Not applicable,2019
EST,Estonia,Expected years after labour market exit,Years,Female,Not applicable,2020
EST,Estonia,Expected years after labour market exit,Years,Female,Not applicable,2021
EST,Estonia,Expected years after labour market exit,Years,Female,Not applicable,2022
IND,India,Gross pension replacement rate at 100% of average wage,Percentage of gross pre-retirement earnings at the same income level,Female,Not applicable,2022
ISR,Israel,Current retirement age for a person who entered the labour force at age 22,Years,Male,Not applicable,2014
ISR,Israel,Current retirement age for a person who entered the labour force at age 22,Years,Male,Not applicable,2018
ISR,Israel,Current retirement age for a person who entered the labour force at age 22,Years,Male,Not applicable,2020
ISR,Israel,Current retirement age for a person who entered the labour force at age 22,Years,Male,Not applicable,2022
ISR,Israel,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1950
ISR,Israel,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1951
ISR,Israel,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1952
ISR,Israel,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1953
ISR,Israel,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1954
ISR,Israel,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1955
ISR,Israel,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1956
ISR,Israel,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1957
ISR,Israel,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1958
ISR,Israel,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1959
ISR,Israel,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1960
ISR,Israel,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1961
ISR,Israel,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1962
ISR,Israel,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1963
ISR,Israel,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1964
ISR,Israel,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1965
ISR,Israel,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1966
ISR,Israel,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1967
ISR,Israel,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1968
ISR,Israel,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1969
