Country Names,REF_AREA,ISO,TIME_PERIOD,Age,% of pop percieved  health,Well-being value,Measure,Unit of measure,65+ values,Mean Exposure to PM2.5 Mg/metere3,POLLUTANT,Total man-made emissions in Tonnes,% of GDP spent on Ed.
Luxembourg,LUX,,1990,,,,Effective labour market exit age,Years,59,,,,
Luxembourg,LUX,,1991,,,,Effective labour market exit age,Years,57.8,,,,
Luxembourg,LUX,,1992,,,,Effective labour market exit age,Years,57.5,,,,
Luxembourg,LUX,,1993,,,,Effective labour market exit age,Years,57.8,,,,
Luxembourg,LUX,,1994,,,,Effective labour market exit age,Years,58.4,,,,
Luxembourg,LUX,,1995,,,,Effective labour market exit age,Years,58.6,,,,
Luxembourg,LUX,,1996,,,,Effective labour market exit age,Years,57.4,,,,
Luxembourg,LUX,,1997,,,,Effective labour market exit age,Years,57.5,,,,
Luxembourg,LUX,,1998,,,,Effective labour market exit age,Years,58.2,,,,
Luxembourg,LUX,,1999,,,,Effective labour market exit age,Years,57.6,,,,
Luxembourg,LUX,,2000,,,,Effective labour market exit age,Years,58.5,,,,
Luxembourg,LUX,,2001,,,,Effective labour market exit age,Years,58.5,,,,
Luxembourg,LUX,,2002,,,,Effective labour market exit age,Years,58.7,,,,
Luxembourg,LUX,,2003,,,,Effective labour market exit age,Years,57.7,,,,
Luxembourg,LUX,,2004,,,,Effective labour market exit age,Years,58.2,,,,
Luxembourg,LUX,,2005,,,,Effective labour market exit age,Years,58.7,,,,
Luxembourg,LUX,,2006,,,,Effective labour market exit age,Years,58.5,,,,
Luxembourg,LUX,,2007,,,,Effective labour market exit age,Years,59.1,,,,
Luxembourg,LUX,,2008,,,,Effective labour market exit age,Years,58.9,,,,
Luxembourg,LUX,,2009,,,,Effective labour market exit age,Years,57.1,,,,
Luxembourg,LUX,,2010,,,,Effective labour market exit age,Years,57.4,,,,
Luxembourg,LUX,,2011,,,,Effective labour market exit age,Years,57.5,,,,
Luxembourg,LUX,,2012,,,,Effective labour market exit age,Years,57.4,,,,
Luxembourg,LUX,,2013,,,,Effective labour market exit age,Years,58.3,,,,
Luxembourg,LUX,,2014,,,,Effective labour market exit age,Years,60.5,,,,
Luxembourg,LUX,,2015,,,,Effective labour market exit age,Years,59.3,,,,
Luxembourg,LUX,,2016,,,,Effective labour market exit age,Years,60.1,,,,
Luxembourg,LUX,,2017,,,,Effective labour market exit age,Years,58.7,,,,
Luxembourg,LUX,,2018,,,,Effective labour market exit age,Years,59.5,,,,
Luxembourg,LUX,,2019,,,,Effective labour market exit age,Years,59.7,,,,
Luxembourg,LUX,,2020,,,,Effective labour market exit age,Years,59.2,,,,
Luxembourg,LUX,,2021,,,,Effective labour market exit age,Years,59.1,,,,
Luxembourg,LUX,,2022,,,,Effective labour market exit age,Years,60.5,,,,
Luxembourg,LUX,,1970,,,,Effective labour market exit age,Years,60.6,,,,
Luxembourg,LUX,,1971,,,,Effective labour market exit age,Years,60.9,,,,
Luxembourg,LUX,,1972,,,,Effective labour market exit age,Years,61.6,,,,
Luxembourg,LUX,,1973,,,,Effective labour market exit age,Years,62.4,,,,
Luxembourg,LUX,,1974,,,,Effective labour market exit age,Years,62.8,,,,
Luxembourg,LUX,,1975,,,,Effective labour market exit age,Years,63.6,,,,
Luxembourg,LUX,,1976,,,,Effective labour market exit age,Years,63.3,,,,
Luxembourg,LUX,,1977,,,,Effective labour market exit age,Years,63,,,,
Luxembourg,LUX,,1978,,,,Effective labour market exit age,Years,62.7,,,,
Luxembourg,LUX,,1979,,,,Effective labour market exit age,Years,62.5,,,,
Luxembourg,LUX,,1980,,,,Effective labour market exit age,Years,62.2,,,,
Luxembourg,LUX,,1981,,,,Effective labour market exit age,Years,62,,,,
Luxembourg,LUX,,1982,,,,Effective labour market exit age,Years,60.2,,,,
Luxembourg,LUX,,1983,,,,Effective labour market exit age,Years,58.8,,,,
Luxembourg,LUX,,1984,,,,Effective labour market exit age,Years,58.5,,,,
Luxembourg,LUX,,1985,,,,Effective labour market exit age,Years,59.4,,,,
Luxembourg,LUX,,1986,,,,Effective labour market exit age,Years,60,,,,
Luxembourg,LUX,,1987,,,,Effective labour market exit age,Years,61.6,,,,
Luxembourg,LUX,,1988,,,,Effective labour market exit age,Years,59.3,,,,
Luxembourg,LUX,,1989,,,,Effective labour market exit age,Years,59.6,,,,
Luxembourg,LUX,,1990,,,,Effective labour market exit age,Years,58.8,,,,
Luxembourg,LUX,,1991,,,,Effective labour market exit age,Years,56.8,,,,
Luxembourg,LUX,,1992,,,,Effective labour market exit age,Years,58,,,,
Luxembourg,LUX,,1993,,,,Effective labour market exit age,Years,58.8,,,,
Luxembourg,LUX,,1994,,,,Effective labour market exit age,Years,57.9,,,,
Luxembourg,LUX,,1995,,,,Effective labour market exit age,Years,57.7,,,,
Luxembourg,LUX,,1996,,,,Effective labour market exit age,Years,57.6,,,,
Luxembourg,LUX,,1997,,,,Effective labour market exit age,Years,56.4,,,,
Luxembourg,LUX,,1998,,,,Effective labour market exit age,Years,57.4,,,,
Luxembourg,LUX,,1999,,,,Effective labour market exit age,Years,58.5,,,,
Luxembourg,LUX,,2000,,,,Effective labour market exit age,Years,59,,,,
Luxembourg,LUX,,2001,,,,Effective labour market exit age,Years,58,,,,
Luxembourg,LUX,,2002,,,,Effective labour market exit age,Years,58.9,,,,
Luxembourg,LUX,,2003,,,,Effective labour market exit age,Years,58.9,,,,
Luxembourg,LUX,,2004,,,,Effective labour market exit age,Years,58.5,,,,
Luxembourg,LUX,,2005,,,,Effective labour market exit age,Years,60.7,,,,
Luxembourg,LUX,,2006,,,,Effective labour market exit age,Years,60.6,,,,
Luxembourg,LUX,,2007,,,,Effective labour market exit age,Years,60.4,,,,
Luxembourg,LUX,,2008,,,,Effective labour market exit age,Years,60.9,,,,
Luxembourg,LUX,,2009,,,,Effective labour market exit age,Years,57.6,,,,
Luxembourg,LUX,,2010,,,,Effective labour market exit age,Years,58.2,,,,
Luxembourg,LUX,,2011,,,,Effective labour market exit age,Years,58.3,,,,
Luxembourg,LUX,,2012,,,,Effective labour market exit age,Years,59.2,,,,
Luxembourg,LUX,,2013,,,,Effective labour market exit age,Years,59.4,,,,
Luxembourg,LUX,,2014,,,,Effective labour market exit age,Years,60.2,,,,
Luxembourg,LUX,,2015,,,,Effective labour market exit age,Years,58.4,,,,
Luxembourg,LUX,,2016,,,,Effective labour market exit age,Years,59.7,,,,
Luxembourg,LUX,,2017,,,,Effective labour market exit age,Years,60.1,,,,
Luxembourg,LUX,,2018,,,,Effective labour market exit age,Years,59.8,,,,
Luxembourg,LUX,,2019,,,,Effective labour market exit age,Years,58.6,,,,
Luxembourg,LUX,,2020,,,,Effective labour market exit age,Years,60.1,,,,
Luxembourg,LUX,,2021,,,,Effective labour market exit age,Years,59.6,,,,
Luxembourg,LUX,,2022,,,,Effective labour market exit age,Years,58.4,,,,
Mexico,MEX,,2014,,,,Employment rate,Percentage of population in the same age,60.5,,,,
Mexico,MEX,,2018,,,,Employment rate,Percentage of population in the same age,61.3,,,,
Mexico,MEX,,2020,,,,Employment rate,Percentage of population in the same age,58.9,,,,
Mexico,MEX,,2022,,,,Employment rate,Percentage of population in the same age,62.7,,,,
Portugal,PRT,,2022,,,,Gross pension replacement rate at 100% of average wage,Percentage of gross pre-retirement earnings at the same income level,73.9,,,,
Portugal,PRT,,1970,,,,Expected years after labour market exit,Years,9.7,,,,
Portugal,PRT,,1971,,,,Expected years after labour market exit,Years,9.7,,,,
Portugal,PRT,,1972,,,,Expected years after labour market exit,Years,9.7,,,,
Portugal,PRT,,1973,,,,Expected years after labour market exit,Years,9.8,,,,
Portugal,PRT,,1974,,,,Expected years after labour market exit,Years,9.8,,,,
Portugal,PRT,,1975,,,,Expected years after labour market exit,Years,10.8,,,,
Portugal,PRT,,1976,,,,Expected years after labour market exit,Years,10.9,,,,
Portugal,PRT,,1977,,,,Expected years after labour market exit,Years,11.5,,,,
Portugal,PRT,,1978,,,,Expected years after labour market exit,Years,12.3,,,,
Portugal,PRT,,1979,,,,Expected years after labour market exit,Years,12.4,,,,
Portugal,PRT,,1980,,,,Expected years after labour market exit,Years,13,,,,
Portugal,PRT,,1981,,,,Expected years after labour market exit,Years,13.6,,,,
Portugal,PRT,,1982,,,,Expected years after labour market exit,Years,13.7,,,,
Portugal,PRT,,1983,,,,Expected years after labour market exit,Years,14,,,,
Portugal,PRT,,1984,,,,Expected years after labour market exit,Years,14.7,,,,
Portugal,PRT,,1985,,,,Expected years after labour market exit,Years,14.9,,,,
Portugal,PRT,,1986,,,,Expected years after labour market exit,Years,15.4,,,,
Portugal,PRT,,1987,,,,Expected years after labour market exit,Years,15.7,,,,
Portugal,PRT,,1988,,,,Expected years after labour market exit,Years,15,,,,
Portugal,PRT,,1989,,,,Expected years after labour market exit,Years,15.2,,,,
Portugal,PRT,,1990,,,,Expected years after labour market exit,Years,15.6,,,,
Portugal,PRT,,1991,,,,Expected years after labour market exit,Years,16.8,,,,
Portugal,PRT,,1992,,,,Expected years after labour market exit,Years,16.5,,,,
Portugal,PRT,,1993,,,,Expected years after labour market exit,Years,16.5,,,,
Portugal,PRT,,1994,,,,Expected years after labour market exit,Years,16.9,,,,
Portugal,PRT,,1995,,,,Expected years after labour market exit,Years,17.4,,,,
Portugal,PRT,,1996,,,,Expected years after labour market exit,Years,17.2,,,,
Portugal,PRT,,1997,,,,Expected years after labour market exit,Years,18.4,,,,
Portugal,PRT,,1998,,,,Expected years after labour market exit,Years,17.9,,,,
Portugal,PRT,,1999,,,,Expected years after labour market exit,Years,18.1,,,,
Portugal,PRT,,2000,,,,Expected years after labour market exit,Years,18.7,,,,
Portugal,PRT,,2001,,,,Expected years after labour market exit,Years,18.7,,,,
Portugal,PRT,,2002,,,,Expected years after labour market exit,Years,18.5,,,,
Portugal,PRT,,2003,,,,Expected years after labour market exit,Years,18.7,,,,
Portugal,PRT,,2004,,,,Expected years after labour market exit,Years,18.3,,,,
Portugal,PRT,,2005,,,,Expected years after labour market exit,Years,17.8,,,,
Portugal,PRT,,2006,,,,Expected years after labour market exit,Years,18.1,,,,
Portugal,PRT,,2007,,,,Expected years after labour market exit,Years,18,,,,
Portugal,PRT,,2008,,,,Expected years after labour market exit,Years,18.2,,,,
Portugal,PRT,,2009,,,,Expected years after labour market exit,Years,18.2,,,,
Portugal,PRT,,2010,,,,Expected years after labour market exit,Years,18.5,,,,
Portugal,PRT,,2011,,,,Expected years after labour market exit,Years,19.4,,,,
Portugal,PRT,,2012,,,,Expected years after labour market exit,Years,19.1,,,,
Portugal,PRT,,2013,,,,Expected years after labour market exit,Years,19.1,,,,
Portugal,PRT,,2014,,,,Expected years after labour market exit,Years,19.1,,,,
Portugal,PRT,,2015,,,,Expected years after labour market exit,Years,18.7,,,,
Portugal,PRT,,2016,,,,Expected years after labour market exit,Years,17.5,,,,
Portugal,PRT,,2017,,,,Expected years after labour market exit,Years,17.4,,,,
Portugal,PRT,,2018,,,,Expected years after labour market exit,Years,17.9,,,,
Portugal,PRT,,2019,,,,Expected years after labour market exit,Years,17.9,,,,
Portugal,PRT,,2020,,,,Expected years after labour market exit,Years,17.9,,,,
Portugal,PRT,,2021,,,,Expected years after labour market exit,Years,16.5,,,,
Portugal,PRT,,2022,,,,Expected years after labour market exit,Years,17.5,,,,
Switzerland,CHE,,2014,,,,Current retirement age for a person who entered the labour force at age 22,Years,64,,,,
Switzerland,CHE,,2018,,,,Current retirement age for a person who entered the labour force at age 22,Years,64,,,,
Switzerland,CHE,,2020,,,,Current retirement age for a person who entered the labour force at age 22,Years,64,,,,
Switzerland,CHE,,2022,,,,Current retirement age for a person who entered the labour force at age 22,Years,64,,,,
Türkiye,TUR,,2014,,,,Occupational transfers to older people,Percentage of gross disposable income of the population aged over 65 years,37.2,,,,
Türkiye,TUR,,2016,,,,Occupational transfers to older people,Percentage of gross disposable income of the population aged over 65 years,37.1,,,,
Türkiye,TUR,,2018,,,,Occupational transfers to older people,Percentage of gross disposable income of the population aged over 65 years,0,,,,
Türkiye,TUR,,2020,,,,Occupational transfers to older people,Percentage of gross disposable income of the population aged over 65 years,0,,,,
United States,USA,,2022,,,,Gross pension replacement rate at 200% of average wage,Percentage of gross pre-retirement earnings at the same income level,27.8,,,,
Estonia,EST,,2014,,,,Employment rate,Percentage of population in the same age,53,,,,
Estonia,EST,,2018,,,,Employment rate,Percentage of population in the same age,58.8,,,,
Estonia,EST,,2020,,,,Employment rate,Percentage of population in the same age,67.2,,,,
Estonia,EST,,2022,,,,Employment rate,Percentage of population in the same age,64.8,,,,
Israel,ISR,,2014,,,,Future retirement age for a person who entered the labour force at age 22,Years,67,,,,
Israel,ISR,,2018,,,,Future retirement age for a person who entered the labour force at age 22,Years,67,,,,
Israel,ISR,,2020,,,,Future retirement age for a person who entered the labour force at age 22,Years,67,,,,
Israel,ISR,,2022,,,,Future retirement age for a person who entered the labour force at age 22,Years,67,,,,
Slovenia,SVN,,2014,,,,Employment rate,Percentage of population in the same age,50.4,,,,
Slovenia,SVN,,2018,,,,Employment rate,Percentage of population in the same age,68.6,,,,
Slovenia,SVN,,2020,,,,Employment rate,Percentage of population in the same age,73.5,,,,
Slovenia,SVN,,2022,,,,Employment rate,Percentage of population in the same age,75.5,,,,
Slovenia,SVN,,1970,,,,Expected years after labour market exit,Years,16.7,,,,
Slovenia,SVN,,1971,,,,Expected years after labour market exit,Years,17.1,,,,
Slovenia,SVN,,1972,,,,Expected years after labour market exit,Years,17.4,,,,
Slovenia,SVN,,1973,,,,Expected years after labour market exit,Years,17.8,,,,
Slovenia,SVN,,1974,,,,Expected years after labour market exit,Years,18.1,,,,
Slovenia,SVN,,1975,,,,Expected years after labour market exit,Years,18.7,,,,
Slovenia,SVN,,1976,,,,Expected years after labour market exit,Years,19,,,,
Slovenia,SVN,,1977,,,,Expected years after labour market exit,Years,19.3,,,,
Slovenia,SVN,,1978,,,,Expected years after labour market exit,Years,19.6,,,,
Slovenia,SVN,,1979,,,,Expected years after labour market exit,Years,19.9,,,,
Slovenia,SVN,,1980,,,,Expected years after labour market exit,Years,20.2,,,,
Slovenia,SVN,,1981,,,,Expected years after labour market exit,Years,20.5,,,,
Slovenia,SVN,,1982,,,,Expected years after labour market exit,Years,20.7,,,,
Slovenia,SVN,,1983,,,,Expected years after labour market exit,Years,21,,,,
Slovenia,SVN,,1984,,,,Expected years after labour market exit,Years,21.3,,,,
Slovenia,SVN,,1985,,,,Expected years after labour market exit,Years,22.1,,,,
Slovenia,SVN,,1986,,,,Expected years after labour market exit,Years,22.4,,,,
Slovenia,SVN,,1987,,,,Expected years after labour market exit,Years,22.6,,,,
Slovenia,SVN,,1988,,,,Expected years after labour market exit,Years,22.9,,,,
Slovenia,SVN,,1989,,,,Expected years after labour market exit,Years,23.1,,,,
Slovenia,SVN,,1990,,,,Expected years after labour market exit,Years,23.9,,,,
Slovenia,SVN,,1991,,,,Expected years after labour market exit,Years,23.9,,,,
Slovenia,SVN,,1992,,,,Expected years after labour market exit,Years,24,,,,
Slovenia,SVN,,1993,,,,Expected years after labour market exit,Years,24.2,,,,
Slovenia,SVN,,1994,,,,Expected years after labour market exit,Years,24.4,,,,
Slovenia,SVN,,1995,,,,Expected years after labour market exit,Years,24.5,,,,
Slovenia,SVN,,1996,,,,Expected years after labour market exit,Years,25.2,,,,
Slovenia,SVN,,1997,,,,Expected years after labour market exit,Years,27.5,,,,
Slovenia,SVN,,1998,,,,Expected years after labour market exit,Years,27.7,,,,
Slovenia,SVN,,1999,,,,Expected years after labour market exit,Years,27.1,,,,
Slovenia,SVN,,2000,,,,Expected years after labour market exit,Years,27.8,,,,
Slovenia,SVN,,2001,,,,Expected years after labour market exit,Years,28.1,,,,
Slovenia,SVN,,2002,,,,Expected years after labour market exit,Years,25.8,,,,
Slovenia,SVN,,2003,,,,Expected years after labour market exit,Years,25.9,,,,
Slovenia,SVN,,2004,,,,Expected years after labour market exit,Years,27.3,,,,
Slovenia,SVN,,2005,,,,Expected years after labour market exit,Years,26.8,,,,
Slovenia,SVN,,2006,,,,Expected years after labour market exit,Years,26.9,,,,
Slovenia,SVN,,2007,,,,Expected years after labour market exit,Years,28.1,,,,
Slovenia,SVN,,2008,,,,Expected years after labour market exit,Years,27.8,,,,
Slovenia,SVN,,2009,,,,Expected years after labour market exit,Years,26.4,,,,
Slovenia,SVN,,2010,,,,Expected years after labour market exit,Years,27.6,,,,
Slovenia,SVN,,2011,,,,Expected years after labour market exit,Years,27.6,,,,
Slovenia,SVN,,2012,,,,Expected years after labour market exit,Years,25.7,,,,
Slovenia,SVN,,2013,,,,Expected years after labour market exit,Years,26.9,,,,
Slovenia,SVN,,2014,,,,Expected years after labour market exit,Years,27.1,,,,
Slovenia,SVN,,2015,,,,Expected years after labour market exit,Years,26.2,,,,
Slovenia,SVN,,2016,,,,Expected years after labour market exit,Years,26.2,,,,
Slovenia,SVN,,2017,,,,Expected years after labour market exit,Years,26.1,,,,
Slovenia,SVN,,2018,,,,Expected years after labour market exit,Years,26.5,,,,
Slovenia,SVN,,2019,,,,Expected years after labour market exit,Years,24.3,,,,
Slovenia,SVN,,2020,,,,Expected years after labour market exit,Years,24.5,,,,
Slovenia,SVN,,2021,,,,Expected years after labour market exit,Years,25.4,,,,
Slovenia,SVN,,2022,,,,Expected years after labour market exit,Years,26.2,,,,
Lithuania,LTU,,2022,,,,Gross pension replacement rate at 100% of average wage,Percentage of gross pre-retirement earnings at the same income level,18.2,,,,
United Kingdom,GBR,,2014,,,,Capital income of older people,Percentage of gross disposable income of the population aged over 65 years,12.1,,,,
United Kingdom,GBR,,2016,,,,Capital income of older people,Percentage of gross disposable income of the population aged over 65 years,11.3,,,,
United Kingdom,GBR,,2018,,,,Capital income of older people,Percentage of gross disposable income of the population aged over 65 years,11.7,,,,
United Kingdom,GBR,,2020,,,,Capital income of older people,Percentage of gross disposable income of the population aged over 65 years,11.3,,,,
Costa Rica,CRI,,1985,,,,Expected years after labour market exit,Years,15.2,,,,
Costa Rica,CRI,,1986,,,,Expected years after labour market exit,Years,14.8,,,,
Costa Rica,CRI,,1987,,,,Expected years after labour market exit,Years,14.5,,,,
Costa Rica,CRI,,1988,,,,Expected years after labour market exit,Years,15.4,,,,
Costa Rica,CRI,,1989,,,,Expected years after labour market exit,Years,14.5,,,,
Costa Rica,CRI,,1990,,,,Expected years after labour market exit,Years,17.7,,,,
Costa Rica,CRI,,1991,,,,Expected years after labour market exit,Years,17.7,,,,
Costa Rica,CRI,,1992,,,,Expected years after labour market exit,Years,16.8,,,,
Costa Rica,CRI,,1993,,,,Expected years after labour market exit,Years,15.5,,,,
Costa Rica,CRI,,1994,,,,Expected years after labour market exit,Years,15.1,,,,
Costa Rica,CRI,,1995,,,,Expected years after labour market exit,Years,14.4,,,,
Costa Rica,CRI,,1996,,,,Expected years after labour market exit,Years,16.2,,,,
Costa Rica,CRI,,1997,,,,Expected years after labour market exit,Years,15.9,,,,
Costa Rica,CRI,,1998,,,,Expected years after labour market exit,Years,15.8,,,,
Costa Rica,CRI,,1999,,,,Expected years after labour market exit,Years,16.1,,,,
Costa Rica,CRI,,2000,,,,Expected years after labour market exit,Years,15.2,,,,
Costa Rica,CRI,,2001,,,,Expected years after labour market exit,Years,15.4,,,,
Costa Rica,CRI,,2002,,,,Expected years after labour market exit,Years,16.3,,,,
Costa Rica,CRI,,2003,,,,Expected years after labour market exit,Years,17,,,,
Costa Rica,CRI,,2004,,,,Expected years after labour market exit,Years,16,,,,
Costa Rica,CRI,,2005,,,,Expected years after labour market exit,Years,16.1,,,,
Costa Rica,CRI,,2006,,,,Expected years after labour market exit,Years,16,,,,
Costa Rica,CRI,,2007,,,,Expected years after labour market exit,Years,15.4,,,,
Costa Rica,CRI,,2008,,,,Expected years after labour market exit,Years,15.8,,,,
Costa Rica,CRI,,2009,,,,Expected years after labour market exit,Years,15.1,,,,
Costa Rica,CRI,,2010,,,,Expected years after labour market exit,Years,15.4,,,,
Costa Rica,CRI,,2011,,,,Expected years after labour market exit,Years,16.9,,,,
Costa Rica,CRI,,2012,,,,Expected years after labour market exit,Years,17.4,,,,
Costa Rica,CRI,,2013,,,,Expected years after labour market exit,Years,16.6,,,,
Costa Rica,CRI,,2014,,,,Expected years after labour market exit,Years,17.2,,,,
Costa Rica,CRI,,2015,,,,Expected years after labour market exit,Years,17.7,,,,
Costa Rica,CRI,,2016,,,,Expected years after labour market exit,Years,18.2,,,,
Costa Rica,CRI,,2017,,,,Expected years after labour market exit,Years,16.2,,,,
Costa Rica,CRI,,2018,,,,Expected years after labour market exit,Years,16,,,,
Costa Rica,CRI,,2019,,,,Expected years after labour market exit,Years,16,,,,
Costa Rica,CRI,,2020,,,,Expected years after labour market exit,Years,16.1,,,,
Costa Rica,CRI,,2021,,,,Expected years after labour market exit,Years,14.9,,,,
Costa Rica,CRI,,2022,,,,Expected years after labour market exit,Years,14.8,,,,
Brazil,BRA,,2014,,,,Employment rate,Percentage of population in the same age,45.1,,,,
Brazil,BRA,,2018,,,,Employment rate,Percentage of population in the same age,39.8,,,,
Brazil,BRA,,2020,,,,Employment rate,Percentage of population in the same age,35.5,,,,
Brazil,BRA,,2022,,,,Employment rate,Percentage of population in the same age,38.8,,,,
Cyprus,CYP,,2022,,,,Employment rate,Percentage of population in the same age,57.4,,,,
Brazil,BRA,,2014,,,,Current retirement age for a person who entered the labour force at age 22,Years,55,,,,
Brazil,BRA,,2018,,,,Current retirement age for a person who entered the labour force at age 22,Years,57,,,,
Brazil,BRA,,2020,,,,Current retirement age for a person who entered the labour force at age 22,Years,62,,,,
Brazil,BRA,,2022,,,,Current retirement age for a person who entered the labour force at age 22,Years,65,,,,
South Africa,ZAF,,2014,,,,Current retirement age for a person who entered the labour force at age 22,Years,60,,,,
South Africa,ZAF,,2018,,,,Current retirement age for a person who entered the labour force at age 22,Years,60,,,,
South Africa,ZAF,,2020,,,,Current retirement age for a person who entered the labour force at age 22,Years,60,,,,
South Africa,ZAF,,2022,,,,Current retirement age for a person who entered the labour force at age 22,Years,60,,,,
Croatia,HRV,,1996,,,,Expected years after labour market exit,Years,17.7,,,,
Croatia,HRV,,1997,,,,Expected years after labour market exit,Years,17.8,,,,
Croatia,HRV,,1998,,,,Expected years after labour market exit,Years,18,,,,
Croatia,HRV,,1999,,,,Expected years after labour market exit,Years,17.8,,,,
Croatia,HRV,,2001,,,,Expected years after labour market exit,Years,17.6,,,,
Croatia,HRV,,2002,,,,Expected years after labour market exit,Years,17.5,,,,
Croatia,HRV,,2003,,,,Expected years after labour market exit,Years,17,,,,
Croatia,HRV,,2004,,,,Expected years after labour market exit,Years,16.9,,,,
European Union (28 countries),EU28,,2014,,,,Future retirement age for a person who entered the labour force at age 22,Percentage of gross pre-retirement earnings at the same income level,65,,,,
European Union (28 countries),EU28,,2018,,,,Future retirement age for a person who entered the labour force at age 22,Percentage of gross pre-retirement earnings at the same income level,65.9,,,,
Cyprus,CYP,,2014,,,,Current retirement age for a person who entered the labour force at age 22,Years,65,,,,
Cyprus,CYP,,2018,,,,Current retirement age for a person who entered the labour force at age 22,Years,65,,,,
Cyprus,CYP,,2020,,,,Current retirement age for a person who entered the labour force at age 22,Years,65,,,,
Cyprus,CYP,,2022,,,,Current retirement age for a person who entered the labour force at age 22,Years,65,,,,
India,IND,,1950,,,,Old-age to working-age ratio,Percentage of population aged 20-64 years,6.4,,,,
India,IND,,1951,,,,Old-age to working-age ratio,Percentage of population aged 20-64 years,6.5,,,,
India,IND,,1952,,,,Old-age to working-age ratio,Percentage of population aged 20-64 years,6.5,,,,
India,IND,,1953,,,,Old-age to working-age ratio,Percentage of population aged 20-64 years,6.6,,,,
India,IND,,1954,,,,Old-age to working-age ratio,Percentage of population aged 20-64 years,6.6,,,,
India,IND,,1955,,,,Old-age to working-age ratio,Percentage of population aged 20-64 years,6.6,,,,
India,IND,,1956,,,,Old-age to working-age ratio,Percentage of population aged 20-64 years,6.5,,,,
India,IND,,1957,,,,Old-age to working-age ratio,Percentage of population aged 20-64 years,6.5,,,,
India,IND,,1958,,,,Old-age to working-age ratio,Percentage of population aged 20-64 years,6.4,,,,
India,IND,,1959,,,,Old-age to working-age ratio,Percentage of population aged 20-64 years,6.4,,,,
India,IND,,1960,,,,Old-age to working-age ratio,Percentage of population aged 20-64 years,6.4,,,,
India,IND,,1961,,,,Old-age to working-age ratio,Percentage of population aged 20-64 years,6.5,,,,
India,IND,,1962,,,,Old-age to working-age ratio,Percentage of population aged 20-64 years,7.3,,,,
India,IND,,1963,,,,Old-age to working-age ratio,Percentage of population aged 20-64 years,6.8,,,,
India,IND,,1964,,,,Old-age to working-age ratio,Percentage of population aged 20-64 years,6.9,,,,
India,IND,,1965,,,,Old-age to working-age ratio,Percentage of population aged 20-64 years,7,,,,
India,IND,,1966,,,,Old-age to working-age ratio,Percentage of population aged 20-64 years,7.1,,,,
India,IND,,1967,,,,Old-age to working-age ratio,Percentage of population aged 20-64 years,7.1,,,,
India,IND,,1968,,,,Old-age to working-age ratio,Percentage of population aged 20-64 years,7.2,,,,
India,IND,,1969,,,,Old-age to working-age ratio,Percentage of population aged 20-64 years,7.3,,,,
India,IND,,1970,,,,Old-age to working-age ratio,Percentage of population aged 20-64 years,7.3,,,,
India,IND,,1971,,,,Old-age to working-age ratio,Percentage of population aged 20-64 years,7.4,,,,
India,IND,,1972,,,,Old-age to working-age ratio,Percentage of population aged 20-64 years,7.4,,,,
India,IND,,1973,,,,Old-age to working-age ratio,Percentage of population aged 20-64 years,7.5,,,,
India,IND,,1974,,,,Old-age to working-age ratio,Percentage of population aged 20-64 years,7.6,,,,
India,IND,,1975,,,,Old-age to working-age ratio,Percentage of population aged 20-64 years,7.6,,,,
India,IND,,1976,,,,Old-age to working-age ratio,Percentage of population aged 20-64 years,7.7,,,,
India,IND,,1977,,,,Old-age to working-age ratio,Percentage of population aged 20-64 years,7.7,,,,
India,IND,,1978,,,,Old-age to working-age ratio,Percentage of population aged 20-64 years,7.7,,,,
India,IND,,1979,,,,Old-age to working-age ratio,Percentage of population aged 20-64 years,7.8,,,,
India,IND,,1980,,,,Old-age to working-age ratio,Percentage of population aged 20-64 years,7.8,,,,
India,IND,,1981,,,,Old-age to working-age ratio,Percentage of population aged 20-64 years,7.8,,,,
India,IND,,1982,,,,Old-age to working-age ratio,Percentage of population aged 20-64 years,7.9,,,,
India,IND,,1983,,,,Old-age to working-age ratio,Percentage of population aged 20-64 years,7.9,,,,
India,IND,,1984,,,,Old-age to working-age ratio,Percentage of population aged 20-64 years,7.9,,,,
India,IND,,1985,,,,Old-age to working-age ratio,Percentage of population aged 20-64 years,7.9,,,,
India,IND,,1986,,,,Old-age to working-age ratio,Percentage of population aged 20-64 years,7.9,,,,
India,IND,,1987,,,,Old-age to working-age ratio,Percentage of population aged 20-64 years,8,,,,
India,IND,,1988,,,,Old-age to working-age ratio,Percentage of population aged 20-64 years,8,,,,
India,IND,,1989,,,,Old-age to working-age ratio,Percentage of population aged 20-64 years,8,,,,
India,IND,,1991,,,,Old-age to working-age ratio,Percentage of population aged 20-64 years,8,,,,
India,IND,,1992,,,,Old-age to working-age ratio,Percentage of population aged 20-64 years,8.6,,,,
India,IND,,1993,,,,Old-age to working-age ratio,Percentage of population aged 20-64 years,8.1,,,,
India,IND,,1994,,,,Old-age to working-age ratio,Percentage of population aged 20-64 years,8.2,,,,
India,IND,,1996,,,,Old-age to working-age ratio,Percentage of population aged 20-64 years,8.3,,,,
India,IND,,1997,,,,Old-age to working-age ratio,Percentage of population aged 20-64 years,8.3,,,,
India,IND,,1998,,,,Old-age to working-age ratio,Percentage of population aged 20-64 years,8.4,,,,
India,IND,,1999,,,,Old-age to working-age ratio,Percentage of population aged 20-64 years,8.4,,,,
