STRUCTURE_NAME,REF_AREA,Reference area,Measure,Unit of measure,Age,Domain,TIME_PERIOD
Current well-being by age,TUR,Türkiye,Long-term unemployment rate,Percentage of labour force in the same subgroup,Young,Work and job quality,2012
Current well-being by age,TUR,Türkiye,Long-term unemployment rate,Percentage of labour force in the same subgroup,Young,Work and job quality,2013
Current well-being by age,TUR,Türkiye,Long-term unemployment rate,Percentage of labour force in the same subgroup,Young,Work and job quality,2014
Current well-being by age,TUR,Türkiye,Long-term unemployment rate,Percentage of labour force in the same subgroup,Young,Work and job quality,2015
Current well-being by age,TUR,Türkiye,Long-term unemployment rate,Percentage of labour force in the same subgroup,Young,Work and job quality,2016
Current well-being by age,TUR,Türkiye,Long-term unemployment rate,Percentage of labour force in the same subgroup,Young,Work and job quality,2017
Current well-being by age,TUR,Türkiye,Long-term unemployment rate,Percentage of labour force in the same subgroup,Young,Work and job quality,2018
Current well-being by age,TUR,Türkiye,Long-term unemployment rate,Percentage of labour force in the same subgroup,Young,Work and job quality,2019
Current well-being by age,TUR,Türkiye,Long-term unemployment rate,Percentage of labour force in the same subgroup,Young,Work and job quality,2020
Current well-being by age,TUR,Türkiye,Long-term unemployment rate,Percentage of labour force in the same subgroup,Young,Work and job quality,2021
Current well-being by age,TUR,Türkiye,Long-term unemployment rate,Percentage of labour force in the same subgroup,Young,Work and job quality,2022
Current well-being by age,EST,Estonia,Satisfaction with time use,0-10 scale,Young,Work-life balance,2013
Current well-being by age,EST,Estonia,Satisfaction with time use,0-10 scale,Young,Work-life balance,2018
Current well-being by age,EST,Estonia,Satisfaction with time use,0-10 scale,Young,Work-life balance,2022
Current well-being by age,AUS,Australia,Job strain,Percentage of employees in the same subgroup,Middle-aged,Work and job quality,2005
Current well-being by age,AUS,Australia,Job strain,Percentage of employees in the same subgroup,Middle-aged,Work and job quality,2015
Current well-being by age,AUS,Australia,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Young,Health,2004
Current well-being by age,AUS,Australia,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Young,Health,2007
Current well-being by age,AUS,Australia,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Young,Health,2011
Current well-being by age,AUS,Australia,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Young,Health,2014
Current well-being by age,AUS,Australia,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Young,Health,2017
Current well-being by age,CZE,Czechia,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2004
Current well-being by age,CZE,Czechia,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2005
Current well-being by age,CZE,Czechia,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2006
Current well-being by age,CZE,Czechia,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2007
Current well-being by age,CZE,Czechia,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2008
Current well-being by age,CZE,Czechia,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2009
Current well-being by age,CZE,Czechia,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2010
Current well-being by age,CZE,Czechia,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2011
Current well-being by age,CZE,Czechia,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2012
Current well-being by age,CZE,Czechia,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2013
Current well-being by age,CZE,Czechia,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2014
Current well-being by age,CZE,Czechia,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2015
Current well-being by age,CZE,Czechia,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2016
Current well-being by age,CZE,Czechia,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2017
Current well-being by age,CZE,Czechia,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2018
Current well-being by age,CZE,Czechia,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2019
Current well-being by age,CZE,Czechia,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2020
Current well-being by age,CZE,Czechia,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2021
Current well-being by age,CZE,Czechia,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2022
Current well-being by age,CHE,Switzerland,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2004
Current well-being by age,CHE,Switzerland,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2005
Current well-being by age,CHE,Switzerland,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2006
Current well-being by age,CHE,Switzerland,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2007
Current well-being by age,CHE,Switzerland,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2008
Current well-being by age,CHE,Switzerland,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2009
Current well-being by age,CHE,Switzerland,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2010
Current well-being by age,CHE,Switzerland,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2011
Current well-being by age,CHE,Switzerland,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2012
Current well-being by age,CHE,Switzerland,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2013
Current well-being by age,CHE,Switzerland,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2014
Current well-being by age,CHE,Switzerland,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2015
Current well-being by age,CHE,Switzerland,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2016
Current well-being by age,CHE,Switzerland,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2017
Current well-being by age,CHE,Switzerland,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2018
Current well-being by age,CHE,Switzerland,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2019
Current well-being by age,CHE,Switzerland,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2020
Current well-being by age,CHE,Switzerland,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2021
Current well-being by age,CHE,Switzerland,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2022
Current well-being by age,CHE,Switzerland,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2023
Current well-being by age,NLD,Netherlands,Long hours in paid work,Percentage of employees in the same subgroup,Middle-aged,Work and job quality,2004
Current well-being by age,NLD,Netherlands,Long hours in paid work,Percentage of employees in the same subgroup,Middle-aged,Work and job quality,2005
Current well-being by age,NLD,Netherlands,Long hours in paid work,Percentage of employees in the same subgroup,Middle-aged,Work and job quality,2006
Current well-being by age,NLD,Netherlands,Long hours in paid work,Percentage of employees in the same subgroup,Middle-aged,Work and job quality,2007
Current well-being by age,NLD,Netherlands,Long hours in paid work,Percentage of employees in the same subgroup,Middle-aged,Work and job quality,2008
Current well-being by age,NLD,Netherlands,Long hours in paid work,Percentage of employees in the same subgroup,Middle-aged,Work and job quality,2009
Current well-being by age,NLD,Netherlands,Long hours in paid work,Percentage of employees in the same subgroup,Middle-aged,Work and job quality,2010
Current well-being by age,NLD,Netherlands,Long hours in paid work,Percentage of employees in the same subgroup,Middle-aged,Work and job quality,2011
Current well-being by age,NLD,Netherlands,Long hours in paid work,Percentage of employees in the same subgroup,Middle-aged,Work and job quality,2012
Current well-being by age,NLD,Netherlands,Long hours in paid work,Percentage of employees in the same subgroup,Middle-aged,Work and job quality,2013
Current well-being by age,NLD,Netherlands,Long hours in paid work,Percentage of employees in the same subgroup,Middle-aged,Work and job quality,2014
Current well-being by age,NLD,Netherlands,Long hours in paid work,Percentage of employees in the same subgroup,Middle-aged,Work and job quality,2015
Current well-being by age,NLD,Netherlands,Long hours in paid work,Percentage of employees in the same subgroup,Middle-aged,Work and job quality,2016
Current well-being by age,NLD,Netherlands,Long hours in paid work,Percentage of employees in the same subgroup,Middle-aged,Work and job quality,2017
Current well-being by age,NLD,Netherlands,Long hours in paid work,Percentage of employees in the same subgroup,Middle-aged,Work and job quality,2018
Current well-being by age,NLD,Netherlands,Long hours in paid work,Percentage of employees in the same subgroup,Middle-aged,Work and job quality,2019
Current well-being by age,NLD,Netherlands,Long hours in paid work,Percentage of employees in the same subgroup,Middle-aged,Work and job quality,2020
Current well-being by age,NLD,Netherlands,Long hours in paid work,Percentage of employees in the same subgroup,Middle-aged,Work and job quality,2021
Current well-being by age,NLD,Netherlands,Long hours in paid work,Percentage of employees in the same subgroup,Middle-aged,Work and job quality,2022
Current well-being by age,SVK,Slovak Republic,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Young,Work and job quality,2007
Current well-being by age,SVK,Slovak Republic,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Young,Work and job quality,2008
Current well-being by age,SVK,Slovak Republic,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Young,Work and job quality,2009
Current well-being by age,SVK,Slovak Republic,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Young,Work and job quality,2010
Current well-being by age,SVK,Slovak Republic,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Young,Work and job quality,2011
Current well-being by age,SVK,Slovak Republic,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Young,Work and job quality,2012
Current well-being by age,SVK,Slovak Republic,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Young,Work and job quality,2013
Current well-being by age,SVK,Slovak Republic,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Young,Work and job quality,2014
Current well-being by age,SVK,Slovak Republic,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Young,Work and job quality,2015
Current well-being by age,SVK,Slovak Republic,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Young,Work and job quality,2016
Current well-being by age,KOR,Korea,Adult numeracy skills,Points,Middle-aged,Knowledge and skills,2012
Current well-being by age,USA,United States,Adult literacy skills,Points,Young,Knowledge and skills,2012
Current well-being by age,USA,United States,Adult literacy skills,Points,Young,Knowledge and skills,2017
Current well-being by age,USA,United States,Adult literacy skills,Points,Young,Knowledge and skills,2018
Current well-being by age,GRC,Greece,Satisfaction with personal relationships,0-10 scale,Middle-aged,Social connections,2013
Current well-being by age,GRC,Greece,Satisfaction with personal relationships,0-10 scale,Middle-aged,Social connections,2018
Current well-being by age,GRC,Greece,Satisfaction with personal relationships,0-10 scale,Middle-aged,Social connections,2022
Current well-being by age,USA,United States,Time off,Hours per day,Young,Work-life balance,2004
Current well-being by age,USA,United States,Time off,Hours per day,Young,Work-life balance,2005
Current well-being by age,USA,United States,Time off,Hours per day,Young,Work-life balance,2006
Current well-being by age,USA,United States,Time off,Hours per day,Young,Work-life balance,2007
Current well-being by age,USA,United States,Time off,Hours per day,Young,Work-life balance,2008
Current well-being by age,USA,United States,Time off,Hours per day,Young,Work-life balance,2009
Current well-being by age,USA,United States,Time off,Hours per day,Young,Work-life balance,2010
Current well-being by age,USA,United States,Time off,Hours per day,Young,Work-life balance,2011
Current well-being by age,USA,United States,Time off,Hours per day,Young,Work-life balance,2012
Current well-being by age,USA,United States,Time off,Hours per day,Young,Work-life balance,2013
Current well-being by age,USA,United States,Time off,Hours per day,Young,Work-life balance,2014
Current well-being by age,USA,United States,Time off,Hours per day,Young,Work-life balance,2015
Current well-being by age,USA,United States,Time off,Hours per day,Young,Work-life balance,2016
Current well-being by age,USA,United States,Time off,Hours per day,Young,Work-life balance,2017
Current well-being by age,USA,United States,Time off,Hours per day,Young,Work-life balance,2018
Current well-being by age,USA,United States,Time off,Hours per day,Young,Work-life balance,2019
Current well-being by age,USA,United States,Time off,Hours per day,Young,Work-life balance,2021
Current well-being by age,USA,United States,Time off,Hours per day,Young,Work-life balance,2022
Current well-being by age,NLD,Netherlands,Time off,Hours per day,Middle-aged,Work-life balance,2016
Current well-being by age,BEL,Belgium,Self-reported depression,Percentage of population aged 15 years or over in the same subgroup,Young,Health,2019
Current well-being by age,NOR,Norway,Voter turnout,Percentage of votes in the same subgroup,Young,Civic engagement,2013
Current well-being by age,NOR,Norway,Voter turnout,Percentage of votes in the same subgroup,Young,Civic engagement,2017
Current well-being by age,NOR,Norway,Voter turnout,Percentage of votes in the same subgroup,Young,Civic engagement,2021
Current well-being by age,CAN,Canada,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Subjective well-being,2010
Current well-being by age,CAN,Canada,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Subjective well-being,2011
Current well-being by age,CAN,Canada,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Subjective well-being,2012
Current well-being by age,CAN,Canada,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Subjective well-being,2013
Current well-being by age,CAN,Canada,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Subjective well-being,2014
Current well-being by age,CAN,Canada,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Subjective well-being,2015
Current well-being by age,CAN,Canada,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Subjective well-being,2016
Current well-being by age,CAN,Canada,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Subjective well-being,2017
Current well-being by age,CAN,Canada,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Subjective well-being,2018
Current well-being by age,CAN,Canada,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Subjective well-being,2019
Current well-being by age,CAN,Canada,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Subjective well-being,2020
Current well-being by age,CAN,Canada,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Subjective well-being,2021
Current well-being by age,HUN,Hungary,Time spent in social interactions,Hours per week,Middle-aged,Social connections,2009
Current well-being by age,KOR,Korea,Voter turnout,Percentage of votes in the same subgroup,Middle-aged,Civic engagement,2016
Current well-being by age,SVK,Slovak Republic,Social support,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Social connections,2010
Current well-being by age,SVK,Slovak Republic,Social support,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Social connections,2011
Current well-being by age,SVK,Slovak Republic,Social support,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Social connections,2012
Current well-being by age,SVK,Slovak Republic,Social support,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Social connections,2013
Current well-being by age,SVK,Slovak Republic,Social support,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Social connections,2014
Current well-being by age,SVK,Slovak Republic,Social support,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Social connections,2015
Current well-being by age,SVK,Slovak Republic,Social support,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Social connections,2016
Current well-being by age,SVK,Slovak Republic,Social support,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Social connections,2017
Current well-being by age,SVK,Slovak Republic,Social support,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Social connections,2018
Current well-being by age,SVK,Slovak Republic,Social support,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Social connections,2019
Current well-being by age,SVK,Slovak Republic,Social support,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Social connections,2020
Current well-being by age,SVK,Slovak Republic,Social support,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Social connections,2021
Current well-being by age,SWE,Sweden,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Young,Work and job quality,2007
Current well-being by age,SWE,Sweden,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Young,Work and job quality,2008
Current well-being by age,SWE,Sweden,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Young,Work and job quality,2009
Current well-being by age,SWE,Sweden,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Young,Work and job quality,2010
Current well-being by age,SWE,Sweden,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Young,Work and job quality,2011
Current well-being by age,SWE,Sweden,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Young,Work and job quality,2012
Current well-being by age,SWE,Sweden,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Young,Work and job quality,2013
Current well-being by age,SWE,Sweden,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Young,Work and job quality,2014
Current well-being by age,SWE,Sweden,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Young,Work and job quality,2015
Current well-being by age,SWE,Sweden,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Young,Work and job quality,2016
Current well-being by age,LTU,Lithuania,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2004
Current well-being by age,LTU,Lithuania,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2005
Current well-being by age,LTU,Lithuania,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2006
Current well-being by age,LTU,Lithuania,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2007
Current well-being by age,LTU,Lithuania,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2008
Current well-being by age,LTU,Lithuania,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2009
Current well-being by age,LTU,Lithuania,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2010
Current well-being by age,LTU,Lithuania,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2011
Current well-being by age,LTU,Lithuania,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2012
Current well-being by age,LTU,Lithuania,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2013
Current well-being by age,LTU,Lithuania,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2014
Current well-being by age,LTU,Lithuania,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2015
Current well-being by age,LTU,Lithuania,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2016
Current well-being by age,LTU,Lithuania,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2017
Current well-being by age,LTU,Lithuania,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2018
Current well-being by age,LTU,Lithuania,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2019
Current well-being by age,LTU,Lithuania,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2020
Current well-being by age,LTU,Lithuania,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2021
Current well-being by age,LTU,Lithuania,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2022
Current well-being by age,USA,United States,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Middle-aged,Work and job quality,2007
Current well-being by age,USA,United States,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Middle-aged,Work and job quality,2008
Current well-being by age,USA,United States,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Middle-aged,Work and job quality,2009
Current well-being by age,USA,United States,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Middle-aged,Work and job quality,2010
Current well-being by age,USA,United States,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Middle-aged,Work and job quality,2011
Current well-being by age,USA,United States,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Middle-aged,Work and job quality,2012
Current well-being by age,USA,United States,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Middle-aged,Work and job quality,2013
Current well-being by age,USA,United States,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Middle-aged,Work and job quality,2014
Current well-being by age,USA,United States,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Middle-aged,Work and job quality,2015
Current well-being by age,USA,United States,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Middle-aged,Work and job quality,2016
Current well-being by age,ISL,Iceland,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,Health,2004
Current well-being by age,ISL,Iceland,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,Health,2005
Current well-being by age,ISL,Iceland,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,Health,2006
Current well-being by age,ISL,Iceland,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,Health,2007
Current well-being by age,ISL,Iceland,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,Health,2008
Current well-being by age,ISL,Iceland,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,Health,2009
Current well-being by age,ISL,Iceland,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,Health,2010
Current well-being by age,ISL,Iceland,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,Health,2011
Current well-being by age,ISL,Iceland,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,Health,2012
Current well-being by age,ISL,Iceland,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,Health,2013
Current well-being by age,ISL,Iceland,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,Health,2014
Current well-being by age,ISL,Iceland,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,Health,2015
Current well-being by age,ISL,Iceland,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,Health,2016
Current well-being by age,ISL,Iceland,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,Health,2017
Current well-being by age,ISL,Iceland,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,Health,2018
Current well-being by age,AUT,Austria,Satisfaction with time use,0-10 scale,Middle-aged,Work-life balance,2013
Current well-being by age,AUT,Austria,Satisfaction with time use,0-10 scale,Middle-aged,Work-life balance,2018
Current well-being by age,AUT,Austria,Satisfaction with time use,0-10 scale,Middle-aged,Work-life balance,2022
Current well-being by age,DNK,Denmark,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2004
Current well-being by age,DNK,Denmark,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2005
Current well-being by age,DNK,Denmark,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2006
Current well-being by age,DNK,Denmark,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2007
Current well-being by age,DNK,Denmark,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2008
Current well-being by age,DNK,Denmark,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2009
Current well-being by age,DNK,Denmark,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2010
Current well-being by age,DNK,Denmark,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2011
Current well-being by age,DNK,Denmark,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2012
Current well-being by age,DNK,Denmark,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2013
Current well-being by age,DNK,Denmark,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2014
Current well-being by age,DNK,Denmark,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2015
Current well-being by age,TUR,Türkiye,Job strain,Percentage of employees in the same subgroup,Middle-aged,Work and job quality,2005
Current well-being by age,TUR,Türkiye,Job strain,Percentage of employees in the same subgroup,Middle-aged,Work and job quality,2010
Current well-being by age,TUR,Türkiye,Job strain,Percentage of employees in the same subgroup,Middle-aged,Work and job quality,2015
Current well-being by age,ESP,Spain,Satisfaction with time use,0-10 scale,Young,Work-life balance,2013
Current well-being by age,ESP,Spain,Satisfaction with time use,0-10 scale,Young,Work-life balance,2018
Current well-being by age,ESP,Spain,Satisfaction with time use,0-10 scale,Young,Work-life balance,2022
Current well-being by age,SWE,Sweden,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2004
Current well-being by age,SWE,Sweden,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2005
Current well-being by age,SWE,Sweden,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2006
Current well-being by age,SWE,Sweden,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2007
Current well-being by age,SWE,Sweden,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2008
Current well-being by age,SWE,Sweden,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2009
Current well-being by age,SWE,Sweden,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2010
Current well-being by age,SWE,Sweden,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2011
Current well-being by age,SWE,Sweden,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2012
Current well-being by age,SWE,Sweden,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2013
Current well-being by age,SWE,Sweden,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2014
Current well-being by age,SWE,Sweden,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2015
Current well-being by age,SWE,Sweden,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2016
Current well-being by age,SWE,Sweden,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2017
Current well-being by age,SWE,Sweden,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2018
Current well-being by age,SWE,Sweden,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2019
Current well-being by age,SWE,Sweden,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2020
Current well-being by age,SWE,Sweden,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2021
Current well-being by age,SWE,Sweden,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2022
Current well-being by age,SWE,Sweden,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2023
Current well-being by age,TUR,Türkiye,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Young,Health,2006
Current well-being by age,TUR,Türkiye,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Young,Health,2007
Current well-being by age,TUR,Türkiye,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Young,Health,2008
