REF_AREA,Reference area,Measure,Unit of measure,Age,Health status,TIME_PERIOD,OBS_VALUE
USA,United States,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1998,93.6
USA,United States,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1999,94
USA,United States,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2000,94.3
USA,United States,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2001,94
USA,United States,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2002,93.8
USA,United States,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2003,93.7
USA,United States,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2004,93.6
USA,United States,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2005,93.7
USA,United States,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2006,93.7
USA,United States,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2007,93.2
USA,United States,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2008,92.8
USA,United States,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2009,92.8
USA,United States,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2010,92.8
USA,United States,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2011,92.7
USA,United States,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2012,92.6
USA,United States,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2013,92.8
USA,United States,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2014,93
USA,United States,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2015,92.8
USA,United States,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2016,93.1
USA,United States,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2017,93.4
USA,United States,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2018,93.1
USA,United States,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2019,90.9
USA,United States,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2020,91.4
USA,United States,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2021,92.2
ESP,Spain,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,1987,86.3
ESP,Spain,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,1993,85.5
ESP,Spain,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,1995,84
ESP,Spain,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,1997,85.1
ESP,Spain,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2001,87.5
ESP,Spain,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2003,86.9
ESP,Spain,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2004,93.3
ESP,Spain,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2005,94.1
ESP,Spain,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2006,93.8
ESP,Spain,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2007,93.8
ESP,Spain,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2008,94.3
ESP,Spain,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2009,93.2
ESP,Spain,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2010,94.8
ESP,Spain,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2011,96.5
ESP,Spain,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2012,96.7
ESP,Spain,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2013,94.7
ESP,Spain,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2014,95.6
ESP,Spain,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2015,95.2
ESP,Spain,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2016,95.1
ESP,Spain,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2017,96.4
ESP,Spain,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2018,95.7
ESP,Spain,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2019,96.4
ESP,Spain,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2020,95.6
ESP,Spain,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2021,92.3
ESP,Spain,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2022,93.1
ESP,Spain,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2023,92.7
LVA,Latvia,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2005,52
LVA,Latvia,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2006,59.4
LVA,Latvia,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2007,63.8
LVA,Latvia,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2008,63.3
LVA,Latvia,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2009,65.8
LVA,Latvia,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2010,68.8
LVA,Latvia,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2011,68.1
LVA,Latvia,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2012,70.3
LVA,Latvia,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2013,70.2
LVA,Latvia,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2014,72.7
LVA,Latvia,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2015,71.9
COL,Colombia,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2018,86.9
COL,Colombia,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2019,87.2
BGR,Bulgaria,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2008,84.2
BGR,Bulgaria,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2009,89.9
BGR,Bulgaria,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2010,91
BGR,Bulgaria,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2011,91.1
BGR,Bulgaria,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2012,91
BGR,Bulgaria,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2013,89.5
BGR,Bulgaria,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2014,90.7
BGR,Bulgaria,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2015,91.1
FRA,France,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2004,92.2
FRA,France,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2005,93.2
FRA,France,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2006,93.9
FRA,France,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2007,93.8
FRA,France,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2008,92.9
FRA,France,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2009,92.4
FRA,France,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2010,91.2
FRA,France,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2011,91.2
FRA,France,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2012,92
FRA,France,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2013,90
FRA,France,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2014,90.5
FRA,France,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2015,90.2
FRA,France,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2016,89.8
FRA,France,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2017,91.1
FRA,France,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2018,90.3
FRA,France,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2019,89.5
FRA,France,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2020,92.8
FRA,France,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2021,91.7
FRA,France,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2022,89.8
FRA,France,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2023,89.3
TUR,Türkiye,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2003,59
TUR,Türkiye,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2006,70.4
TUR,Türkiye,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2007,74.2
TUR,Türkiye,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2008,76.9
TUR,Türkiye,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2009,74.4
TUR,Türkiye,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2010,76
TUR,Türkiye,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2011,77.4
TUR,Türkiye,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2012,79.6
TUR,Türkiye,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2013,78.5
TUR,Türkiye,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2014,79.8
TUR,Türkiye,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2015,77.8
TUR,Türkiye,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2016,81.1
TUR,Türkiye,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2017,81.5
TUR,Türkiye,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2018,80.1
TUR,Türkiye,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2019,79.5
TUR,Türkiye,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2020,83.2
TUR,Türkiye,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2021,80.8
TUR,Türkiye,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2022,80.3
NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,1983,93.8
NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,1984,92.9
NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,1985,92.5
NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,1986,93
NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,1987,92.8
NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,1988,91.5
NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,1989,91.5
NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,1990,92.1
NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,1991,92.1
NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,1992,91.7
NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,1993,91.3
NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,1994,89.9
NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,1995,91.2
NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,1996,91.8
NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,1997,90.3
NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,1998,88.4
NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,1999,88.9
NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2000,88.9
NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2001,90.1
NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2002,88.5
NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2003,88.8
NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2004,88.6
NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2005,91.9
NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2006,92.7
NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2007,90.6
NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2008,90.8
NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2009,91.9
NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2010,93.5
NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2011,91.4
NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2012,93.5
NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2013,89.4
NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2014,92.1
NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2015,89.6
NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2016,90.9
NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2017,87.5
NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2018,88.6
NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2019,87.3
NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2020,90.2
NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2021,84.9
NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2022,82.3
NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2023,78.8
IRL,Ireland,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,1998,94.8
IRL,Ireland,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2002,93.4
IRL,Ireland,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2004,96
IRL,Ireland,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2005,95.4
IRL,Ireland,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2006,95.1
IRL,Ireland,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2007,95.1
IRL,Ireland,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2008,95.3
IRL,Ireland,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2009,95
IRL,Ireland,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2010,95.1
IRL,Ireland,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2011,96.1
IRL,Ireland,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2012,95.8
IRL,Ireland,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2013,95
IRL,Ireland,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2014,94.6
IRL,Ireland,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2015,94.9
IRL,Ireland,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2016,95.3
IRL,Ireland,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2017,95.7
IRL,Ireland,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2018,95.2
IRL,Ireland,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2019,95.3
IRL,Ireland,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2020,94.3
IRL,Ireland,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2021,91.7
IRL,Ireland,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2022,93.1
IRL,Ireland,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2023,92.5
NZL,New Zealand,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,1997,89.6
NZL,New Zealand,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2003,90.9
NZL,New Zealand,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2007,92.1
NZL,New Zealand,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2012,93.1
NZL,New Zealand,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2013,92.1
NZL,New Zealand,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2014,93.7
NZL,New Zealand,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2015,92.5
NZL,New Zealand,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2016,89.9
NZL,New Zealand,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2017,89.4
NZL,New Zealand,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2018,89.9
NZL,New Zealand,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2019,85.2
NZL,New Zealand,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2020,90.5
NZL,New Zealand,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2021,92.3
NZL,New Zealand,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2022,91.3
CRI,Costa Rica,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2018,74.3
CAN,Canada,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1994,94.2
CAN,Canada,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1996,94
CAN,Canada,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1998,93.9
CAN,Canada,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2001,93.2
CAN,Canada,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2003,93.8
CAN,Canada,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2005,93.6
CAN,Canada,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2007,93.5
CAN,Canada,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2008,93.4
CAN,Canada,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2009,93.7
CAN,Canada,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2010,93.5
CAN,Canada,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2011,93
CAN,Canada,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2012,93.3
CAN,Canada,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2013,93.4
CAN,Canada,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2014,92.8
CAN,Canada,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2015,93.2
CAN,Canada,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2016,93.5
CAN,Canada,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2017,93.3
CAN,Canada,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2018,92.9
CAN,Canada,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2019,92.8
CAN,Canada,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2020,92.7
CAN,Canada,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2021,92.1
CAN,Canada,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2022,90
POL,Poland,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,1996,81.6
POL,Poland,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2001,86.5
POL,Poland,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2004,87.4
POL,Poland,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2005,91.1
POL,Poland,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2006,91.3
POL,Poland,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2007,92.1
POL,Poland,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2008,92.6
POL,Poland,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2009,92.2
POL,Poland,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2010,93.1
POL,Poland,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2011,92.9
POL,Poland,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2012,93
POL,Poland,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2013,93.6
POL,Poland,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2014,93.2
POL,Poland,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2015,93.8
POL,Poland,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2016,92.7
POL,Poland,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2017,90.9
POL,Poland,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2018,91.6
POL,Poland,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2019,92.2
POL,Poland,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2020,93.7
POL,Poland,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2021,94.2
POL,Poland,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2022,92.3
POL,Poland,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2023,92.2
CHL,Chile,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2000,71.3
CHL,Chile,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2006,70
CHL,Chile,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2009,74.7
CHL,Chile,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2013,79.7
CHL,Chile,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2015,79.5
CHL,Chile,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2017,81.5
CHL,Chile,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2021,61.4
DEU,Germany,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,1998,82.3
DEU,Germany,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2003,88.5
DEU,Germany,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2005,89.8
DEU,Germany,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2006,90.7
DEU,Germany,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2007,89.1
DEU,Germany,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2008,92.5
DEU,Germany,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2009,90.6
DEU,Germany,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2010,91.4
DEU,Germany,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2011,91.2
DEU,Germany,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2012,92.3
DEU,Germany,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2013,91.6
DEU,Germany,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2014,92.1
DEU,Germany,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2015,91
DEU,Germany,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2016,91.6
DEU,Germany,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2017,91.8
DEU,Germany,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2018,89.3
DEU,Germany,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2019,91.6
DEU,Germany,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2020,90.4
DEU,Germany,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2021,89.9
DEU,Germany,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2022,89.1
DEU,Germany,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2023,89.8
ESP,Spain,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1987,79.5
ESP,Spain,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1993,80.3
ESP,Spain,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1995,78.8
ESP,Spain,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1997,80.8
ESP,Spain,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2001,81.8
ESP,Spain,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2003,80.8
ESP,Spain,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2004,80.7
ESP,Spain,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2005,83.2
ESP,Spain,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2006,83.4
ESP,Spain,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2007,83.6
ESP,Spain,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2008,87.4
ESP,Spain,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2009,85.3
ESP,Spain,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2010,87.5
ESP,Spain,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2011,90.5
ESP,Spain,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2012,90.4
ESP,Spain,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2013,87.9
ESP,Spain,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2014,88.3
ESP,Spain,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2015,88.5
